 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1655063130464.86865234375,,,,,,16145,-10105,1869,14276,
 1655063130576.34936523437,0.14172363281,0.74401855468,-0.81311035156,,,,,,,,
 1655063130583.18530273437,,,,,,16200,-8554,1988,14212,
 1655063130605.58520507812,,,,,,16222,-8989,2042,14180,
 1655063130651.697265625,,,,61,0,,,,
 1655063130656.64111328125,0.45288085937,0.57263183593,-0.7626953125,,,,,,,,
 1655063130739.98461914062,,,,,,16491,-11283,2375,14116,
 1655063130749.32299804687,0.27062988281,0.53076171875,-0.52661132812,,,,,,,,
 1655063130800.04321289062,,,,,,16605,-13181,2553,14052,
 1655063130807.36743164062,-0.46020507812,0.7275390625,-0.6181640625,,,,,,,,
 1655063130867.57861328125,,,,,,16586,-12597,2598,13988,
 1655063130930.68896484375,-0.4658203125,0.75305175781,-0.75939941406,,,,,,,,
 1655063130934.99194335937,,,,,,16180,-2955,2320,13860,
 1655063131028.2841796875,-0.09729003906,0.71276855468,-0.76684570312,,,,,,,,
 1655063131032.34301757812,,,,,,16139,2969,2375,13764,
 1655063131123.1328125,,,,,,,,,,103
 1655063131125.84887695312,,,,,,,,,,102
 1655063131198.35864257812,0.65942382812,0.72290039062,-0.73364257812,,,,,,,,
 1655063131202.44799804687,,,,,,16118,1936,2418,13700,
 1655063131255.85375976562,0.84228515625,0.720703125,-0.76953125,,,,,,,,
 1655063131259.94311523437,,,,,,16329,-8407,2757,13572,
 1655063131328.24145507812,0.75036621093,0.63305664062,-0.74450683593,,,,,,,,
 1655063131332.57495117187,,,,,,16409,-12402,2901,13508,
 1655063131395.80737304687,0.40307617187,0.45043945312,-0.59106445312,,,,,,,,
 1655063131400.14086914062,,,,,,16585,-12639,3141,13444,
 1655063131463.3427734375,-0.28210449218,0.33410644531,-0.37255859375,,,,,,,,
 1655063131512.47607421875,,,,,,16247,-9881,2867,13380,
 1655063131609.00317382812,-0.90905761718,0.14221191406,-0.23413085937,,,,,,,,
 1655063131613.03149414062,,,,,,15634,-5426,2350,13284,
 1655063131627.31372070312,,,,,,15662,-5019,2410,13252,
 1655063131658.68579101562,,,,,,15544,-5690,2324,13220,
 1655063131664.392578125,,,,63,0,,,,
 1655063131710.35205078125,-1.94055175781,0.40783691406,0.5458984375,,,,,,,,
 1655063131714.65502929687,,,,,,15412,-7420,2224,13188,
 1655063131770.80737304687,-2.3349609375,1.2626953125,0.12121582031,,,,,,,,
 1655063131775.1103515625,,,,,,15297,-9960,2141,13156,
 1655063131841.24194335937,-1.693359375,1.34033203125,-0.14465332031,,,,,,,,
 1655063131845.23974609375,,,,,,15789,-15635,2697,13092,
 1655063131921.77783203125,-1.26806640625,0.97424316406,-0.01843261718,,,,,,,,
 1655063131996.57641601562,,,,,,16316,-19713,3288,13028,
 1655063132003.93115234375,-1.15002441406,0.58972167968,-0.06066894531,,,,,,,,
 1655063132067.56030273437,,,,,,16527,-18014,3595,12932,
 1655063132095.94165039062,,,,,,,,,,103
 1655063132149.98828125,-0.90905761718,0.28686523437,-0.27648925781,,,,,,,,
 1655063132156.88525390625,,,,,,16557,-9375,3446,12868,
 1655063132205.83544921875,-0.86474609375,0.41101074218,-0.48229980468,,,,,,,,
 1655063132210.1689453125,,,,,,16581,-4658,3841,12740,
 1655063132266.96215820312,-1.01306152343,0.44079589843,-0.49487304687,,,,,,,,
 1655063132271.26513671875,,,,,,16763,-7033,1615,15148,
 1655063132361.81079101562,,,,69,0,,,,
 1655063132368.09741210937,-1.0654296875,0.71630859375,-0.63208007812,,,,,,,,
 1655063132457.63598632812,,,,,,16457,-12611,1357,15100,
 1655063132467.4931640625,-1.03149414062,0.921875,-0.76904296875,,,,,,,,
 1655063132502.67993164062,,,,,,16353,-18552,1349,15004,
 1655063132607.1416015625,-1.01623535156,0.08813476562,0.06115722656,,,,,,,,
 1655063132611.13940429687,,,,,,16051,-13756,1143,14908,
 1655063132648.34033203125,-0.73547363281,0.1328125,0.07751464843,,,,,,,,
