 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1655063127944.23095703125,,,,,,,,,,103
 1655063127962.90771484375,,,,,,5582,-10040,2743,48,
 1655063127994.06616210937,0.09814453125,0.51574707031,-1.00366210937,,,,,,,,
 1655063128006.24267578125,,,,,,5518,-9123,2743,16,
 1655063128046.46484375,,,,,,5438,-7661,2719,0,
 1655063128073.16772460937,0.4501953125,0.48547363281,-0.97668457031,,,,,,,,
 1655063128087.724609375,,,,,,5438,-5603,2719,0,
 1655063128129.01489257812,,,,,,5502,-2936,2751,0,
 1655063128152.94067382812,0.38403320312,0.39306640625,-0.84521484375,,,,,,,,
 1655063128170.244140625,,,,,,5534,49,2767,0,
 1655063128211.10717773437,,,,,,5486,3003,2743,0,
 1655063128232.8662109375,0.12280273437,0.34594726562,-0.82360839843,,,,,,,,
 1655063128292.52807617187,,,,,,5342,5550,2671,0,
 1655063128313.28002929687,-0.078125,0.38745117187,-0.86352539062,,,,,,,,
 1655063128334.76440429687,,,,,,5406,7529,2703,0,
 1655063128375.74951171875,,,,,,5494,8646,2747,0,
 1655063128392.93090820312,-0.01245117187,0.46215820312,-0.95825195312,,,,,,,,
 1655063128417.37548828125,,,,,,5566,8795,2783,0,
 1655063128459.36767578125,,,,,,5614,7963,2807,0,
 1655063128464.3115234375,,,,42,84,,,,
 1655063128522.23388671875,0.29650878906,0.43432617187,-0.96801757812,,,,,,,,
 1655063128553.36181640625,0.46557617187,0.35681152343,-0.91528320312,,,,,,,,
 1655063128581.95678710937,,,,,,5694,4123,2847,0,
 1655063128622.97241210937,,,,,,5742,1767,2871,0,
 1655063128632.86010742187,0.31311035156,0.26123046875,-0.84680175781,,,,,,,,
 1655063128664.56787109375,,,,,,5710,-426,2855,0,
 1655063128705.12573242187,,,,,,5566,-2214,2783,0,
 1655063128713.8232421875,0.044921875,0.25830078125,-0.80969238281,,,,,,,,
 1655063128746.69067382812,,,,,,5374,-3293,2687,0,
 1655063128787.46215820312,,,,,,5214,-3511,2607,0,
 1655063128795.09155273437,-0.064453125,0.470703125,-0.84033203125,,,,,,,,
 1655063128828.99658203125,,,,,,5118,-2836,2559,0,
 1655063128872.48413085937,,,,,,5214,-1326,2607,0,
 1655063128911.2109375,,,,,,5342,731,2671,0,
 1655063128942.52197265625,,,,,,,,,,103
